%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
1471706373254833802,-0.019123096019,0.0517563559115,0.845354318619,1.57298910618,0.0534245036542,-2.96248197556,0.0
1471706373334792321,-0.0191718209535,0.0521209686995,0.833362698555,1.56871163845,-0.0235865041614,3.11280703545,0.0
1471706373410270861,-0.0185646079481,0.0517500340939,0.824471414089,1.56653344631,-0.0982846468687,3.02783942223,0.0
1471706373486528823,-0.0185362864286,0.050799485296,0.809337079525,1.57241821289,0.0314033068717,-2.90461111069,0.0
1471706373559831227,-0.0185746476054,0.0495786070824,0.802544116974,1.56311786175,-0.122177146375,3.05948281288,0.0
1471706373632836649,-0.0187755245715,0.0460516884923,0.789715051651,1.56679046154,-0.0500834174454,3.09588575363,0.0
1471706373705140175,-0.0182608384639,0.0444508455694,0.771944224834,1.55989813805,-0.14995495975,3.0502974987,0.0
1471706373779259237,-0.0183125119656,0.0420276932418,0.765104413033,1.56516981125,-0.100440725684,3.08350515366,0.0
1471706373860317594,-0.0185222495347,0.0380711592734,0.751978695393,1.56804609299,-0.0360049754381,3.09434485435,0.0
1471706373939709875,-0.017912350595,0.0365594401956,0.744169592857,1.56574308872,-0.09080478549,3.01900148392,0.0
1471706374014953755,-0.0179452113807,0.0334289036691,0.732208013535,1.57265067101,0.0619091652334,-2.93649792671,0.0
1471706374095790754,-0.0174293313175,0.0318199247122,0.722099840641,1.56706655025,-0.084290355444,3.02436375618,0.0
1471706374174998167,-0.0170723292977,0.0305947735906,0.717033326626,1.56267392635,-0.0675531551242,-3.13241386414,0.0
1471706374253862576,-0.0167282372713,0.0278538241982,0.69865000248,1.56197679043,-0.0719710886478,3.07697796822,0.0
1471706374328323183,-0.0165837015957,0.0254910327494,0.690036475658,1.55445516109,-0.0999063849449,-3.08405852318,0.0
1471706374402706251,-0.0162713360041,0.0233277957886,0.676864624023,1.56606435776,-0.122715033591,3.0744946003,0.0
1471706374473635213,-0.0163610354066,0.0202612858266,0.666961252689,1.56483256817,-0.0716072693467,3.09401631355,0.0
1471706374546268235,-0.0163302477449,0.0191863868386,0.652799427509,1.56500184536,-0.0755434781313,3.03847527504,0.0
1471706374619172566,-0.0160582419485,0.0165951084346,0.640868246555,1.56104540825,-0.0856337025762,3.13427996635,0.0
1471706374696164842,-0.0156863480806,0.0155221614987,0.626856505871,1.5651204586,-0.171682760119,3.05050110817,0.0
1471706374769106551,-0.0158308632672,0.0138719454408,0.621856987476,1.56485402584,-0.0908543467522,3.09649372101,0.0
1471706374843419942,-0.0158347096294,0.0122930631042,0.610963702202,1.56737482548,-0.0686079785228,3.03575253487,0.0
1471706374920129093,-0.0158819649369,0.00999851338565,0.6026917696,1.56683909893,0.0576382577419,-3.02170801163,0.0
1471706375001470270,-0.0151966344565,0.00930483080447,0.591073274612,1.56626725197,-0.110938496888,3.067527771,0.0
1471706375080533953,-0.0149368401617,0.00804701820016,0.577245950699,1.56498432159,-0.100360967219,3.08360743523,0.0
1471706375155847471,-0.014940851368,0.00751506304368,0.568770349026,1.5674226284,-0.0639388114214,3.06078219414,0.0
1471706375230791220,-0.0148315532133,0.00692943949252,0.558562099934,1.56583952904,-0.0727893710136,3.03473329544,0.0
1471706375312304358,-0.0144162429497,0.00623380346224,0.543817341328,1.56644451618,-0.0742753520608,3.07279992104,0.0
1471706375385761714,-0.0143160838634,0.0056186132133,0.534672796726,1.56567299366,-0.0649918615818,3.06819367409,0.0
1471706375466371687,-0.014362309128,0.00528307165951,0.524593889713,1.55928897858,-0.00954222865403,3.05028176308,0.0
1471706375541540092,-0.0139889717102,0.00467452872545,0.511705696583,1.56186401844,-0.00355004845187,3.07859683037,0.0
1471706375614891692,-0.0135946515948,0.0044790818356,0.501595795155,1.56564223766,-0.0745800212026,3.06960892677,0.0
1471706375693507783,-0.013345438987,0.0042100250721,0.490646481514,1.56202602386,-0.113904967904,3.0987508297,0.0
1471706375776009283,-0.013196086511,0.00377341685817,0.475459784269,1.56423425674,-0.0860362574458,3.06686234474,0.0
1471706375851699683,-0.0130396392196,0.00312220235355,0.467218190432,1.56557416916,-0.0667739659548,3.06211686134,0.0
1471706375927605356,-0.0129159586504,0.00268319621682,0.457728296518,1.56042206287,-0.0337793044746,3.07606101036,0.0
1471706376005525865,-0.0125682419166,0.00202334928326,0.448292344809,1.5623087883,-0.0901491865516,3.08759307861,0.0
1471706376079752636,-0.0123152500018,0.00160129717551,0.4348346591,1.56434130669,-0.0618841052055,3.07841968536,0.0
1471706376151188394,-0.0123288379982,0.00147961522453,0.425488650799,1.55677449703,-0.0162879619747,3.12459731102,0.0
1471706376224456612,-0.0119779175147,0.00176176859532,0.414673894644,1.5645878315,-0.0710628032684,3.08488488197,0.0
1471706376295235672,-0.0116513678804,0.00188016227912,0.401011139154,1.56365323067,-0.0675177276134,3.07128429413,0.0
1471706376373589364,-0.0113486032933,0.0019837282598,0.391390502453,1.56086027622,-0.0788493454456,3.10995459557,0.0
1471706376451233261,-0.0111626069993,0.00233237352222,0.381490796804,1.56211423874,-0.082027733326,3.0861184597,0.0
1471706376528869614,-0.0110506005585,0.00247264304198,0.371547281742,1.56267476082,-0.0821726620197,3.08887267113,0.0
1471706376605397469,-0.0108422422782,0.00261478847824,0.357526898384,1.56121492386,-0.0644322261214,3.09747171402,0.0
1471706376681498905,-0.0106860008091,0.002795108594,0.347857236862,1.56306421757,-0.064095646143,3.08645105362,0.0
1471706376755033079,-0.0105230677873,0.00295112584718,0.338778436184,1.56280851364,-0.0615912526846,3.08528590202,0.0
1471706376828004020,-0.0104135964066,0.00317247002386,0.328936398029,1.56117749214,-0.0600095316768,3.1067199707,0.0
1471706376908555642,-0.0103374505416,0.00336470012553,0.314899146557,1.56014716625,-0.0315050035715,3.08889007568,0.0
1471706376987115057,-0.00994662661105,0.00331549276598,0.305647224188,1.56006860733,-0.0679628625512,3.10955286026,0.0
1471706377061014281,-0.0096993567422,0.00356131861918,0.294012695551,1.56160676479,-0.0444536134601,3.11799240112,0.0
1471706377132982375,-0.00948862172663,0.00386066036299,0.278627514839,1.56102144718,-0.052134513855,3.1013944149,0.0
1471706377209993310,-0.009457282722,0.0041477442719,0.269331097603,1.56088113785,-0.0536141917109,3.10953140259,0.0
1471706377285850380,-0.00961350649595,0.00460578687489,0.263322204351,1.5624986887,-0.0483896508813,3.09753417969,0.0
1471706377363595104,-0.00957572180778,0.00465189246461,0.260861068964,1.56046831608,-0.0623942650855,3.10057544708,0.0
1471706377437313336,-0.0093538267538,0.00479428470135,0.261696755886,1.55983531475,-0.0673223957419,3.10526847839,0.0
1471706377517207750,-0.00928394310176,0.00491453474388,0.262002766132,1.56134653091,-0.0742313116789,3.10034704208,0.0
1471706377592323235,-0.00930831115693,0.00491685979068,0.262060135603,1.56070721149,-0.0770524591208,3.10265254974,0.0
1471706377671930063,-0.00939243752509,0.00533623760566,0.262215912342,1.55968952179,-0.0667249336839,3.10312771797,0.0
1471706377746078829,-0.00937655102462,0.0057365372777,0.262235760689,1.56049144268,-0.0713958144188,3.10177350044,0.0
1471706377820441568,-0.00943784974515,0.00579391699284,0.26236474514,1.56001460552,-0.0643672794104,3.1026198864,0.0
1471706377892989526,-0.00944022834301,0.00581016205251,0.262418359518,1.55997943878,-0.0644264444709,3.10222101212,0.0
1471706377970972423,-0.00943136401474,0.00585067179054,0.262508392334,1.5604364872,-0.0666527971625,3.10183691978,0.0
1471706378048736320,-0.00933058839291,0.0060104932636,0.262385129929,1.56229126453,-0.0826954692602,3.09703207016,0.0
1471706378123187184,-0.00930159445852,0.00606818124652,0.262397676706,1.56229281425,-0.0893758311868,3.09809613228,0.0
1471706378200792719,-0.0094510903582,0.00622454797849,0.262404382229,1.55992484093,-0.065100826323,3.10414385796,0.0
1471706378274673707,-0.00941023509949,0.00634501455352,0.262473732233,1.5609331131,-0.072762966156,3.10183548927,0.0
1471706378347252841,-0.00938082206994,0.00638738740236,0.262440621853,1.56168067455,-0.0771638229489,3.1010863781,0.0
1471706378418759085,-0.00931426696479,0.00649251136929,0.262431174517,1.56230247021,-0.0888938233256,3.09871912003,0.0
1471706378497309308,-0.00938616786152,0.00662819296122,0.262388378382,1.56118309498,-0.0766704976559,3.1017434597,0.0
1471706378570965614,-0.00947182998061,0.00671875383705,0.262489646673,1.55979335308,-0.0633668601513,3.10382151604,0.0
1471706378646736373,-0.00942636094987,0.00680483784527,0.262524217367,1.56128621101,-0.0720746666193,3.10354804993,0.0
