%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1471706374581383013,0.15,-0.0320889467404,0.0,0.0,0.0,0.0174043664932
1471706374654622308,0.15,0.0,0.0,0.0,0.0,-0.00654680633545
1471706374731197926,0.15,-0.0172204952327,0.0,0.0,0.0,0.0143979082108
1471706374804741366,0.15,-0.00224016486151,0.0,0.0,0.0,0.00289975500107
1471706374880389197,0.15,-0.0285848229451,0.0,0.0,0.0,0.0180850515366
1471706374956488059,0.15,0.0589648542096,0.0,0.0,0.0,-0.0383461823463
1471706375038255328,0.15,-0.0356187044089,0.0,0.0,0.0,0.0101412425041
1471706375117086951,0.15,-0.00589675693289,0.0,0.0,0.0,0.00612132644653
1471706375192336712,0.15,-0.0151145354089,0.0,0.0,0.0,0.0118276367187
1471706375268131293,0.15,-0.0203064970744,0.0,0.0,0.0,0.018339861393
1471706375348761140,0.15,-0.00443336231469,0.0,0.0,0.0,0.0088232049942
1471706375421877885,0.15,-0.00970933254689,0.0,0.0,0.0,0.00997476673126
1471706375503326069,0.15,-0.0142709619577,0.0,0.0,0.0,0.0144527444839
1471706375577391899,0.15,-0.00320885605413,0.0,0.0,0.0,0.00737397766113
1471706375651817832,0.15,-0.00857712906252,0.0,0.0,0.0,0.00962095355988
1471706375728892503,0.15,0.00104303734,0.0,0.0,0.0,0.00233547782898
1471706375811474180,0.15,-0.0101654570627,0.0,0.0,0.0,0.0103075990677
1471706375888039643,0.15,-0.00790516602616,0.0,0.0,0.0,0.0114939699173
1471706375964077865,0.15,-0.00333481694503,0.0,0.0,0.0,0.00800793266296
1471706376041290207,0.15,-0.00111309789281,0.0,0.0,0.0,0.00512491559982
1471706376116006649,0.15,-0.00404355385542,0.0,0.0,0.0,0.0074182639122
1471706376187524525,0.15,0.0083198926169,0.0,0.0,0.0,-0.00412614250183
1471706376259152519,0.15,-0.00534764717083,0.0,0.0,0.0,0.00580196475983
1471706376332422295,0.15,-0.00481280252257,0.0,0.0,0.0,0.00920211172104
1471706376410671858,0.15,0.00524049999923,0.0,0.0,0.0,0.0
